"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка отображения валидации при попытке сохранения формы без Last Name","878","checkCheckoutEmptyLastName","Surefire suite","Mon Jun 16 16:40:06 GMT 2025","passed","Mon Jun 16 16:40:07 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyLastName"
"Проверка входа в систему с коррекными пользовательскими данными","429","checkLoginWithEmailOnly","Surefire suite","Mon Jun 16 16:40:14 GMT 2025","passed","Mon Jun 16 16:40:15 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmailOnly"
"Проверка отображения валидации при попытке входа в систему с пустыми полями ","398","checkLoginWithEmptyValues","Surefire suite","Mon Jun 16 16:40:15 GMT 2025","passed","Mon Jun 16 16:40:16 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyValues"
"Проверка отображения валидации при попытке сохранения формы с пустыми данными","849","checkCheckoutEmptyFields","Surefire suite","Mon Jun 16 16:40:04 GMT 2025","passed","Mon Jun 16 16:40:04 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFields"
"Проверка отображения валидации при попытке сохранения формы без Postal Code","876","checkCheckoutEmptyPostalCode","Surefire suite","Mon Jun 16 16:40:08 GMT 2025","passed","Mon Jun 16 16:40:08 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyPostalCode"
"Проверка того, что кнопка continue возвращает пользователя на предыдущую страницу","619","checkContinueSoppingButton","Surefire suite","Mon Jun 16 16:40:18 GMT 2025","passed","Mon Jun 16 16:40:19 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkContinueSoppingButton"
"Проверка того, что товар корректно удаляется из корзины","5642","checkRemoveProduct","Surefire suite","Mon Jun 16 16:40:26 GMT 2025","passed","Mon Jun 16 16:40:32 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkRemoveProduct"
"","863","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:40:12 GMT 2025","passed","Mon Jun 16 16:40:12 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"Проверяет стандартное отображение страницы корзины без товаров.","5524","checkCartEmptyState","Surefire suite","Mon Jun 16 16:40:20 GMT 2025","passed","Mon Jun 16 16:40:26 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCartEmptyState"
"","440","checkSuccessLogin","Surefire suite","Mon Jun 16 16:40:17 GMT 2025","passed","Mon Jun 16 16:40:17 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"Проверка отображения валидации при попытке сохранения формы без First Name","882","checkCheckoutEmptyFirstName","Surefire suite","Mon Jun 16 16:40:05 GMT 2025","passed","Mon Jun 16 16:40:06 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCheckoutEmptyFirstName"
"Проврека добавления товара в корзину","675","checkProductPurchase","Surefire suite","Mon Jun 16 16:40:19 GMT 2025","passed","Mon Jun 16 16:40:20 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductPurchase"
"Проверка отображения Cart страницы после нажатия кнопки cancel","759","checkCancelCheckout","Surefire suite","Mon Jun 16 16:40:02 GMT 2025","passed","Mon Jun 16 16:40:03 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkCancelCheckout"
"Проверка покупки товара с коррекными пользовательскими данными","1024","checkSuccessCheckout","Surefire suite","Mon Jun 16 16:40:01 GMT 2025","passed","Mon Jun 16 16:40:02 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","checkSuccessCheckout"
"Проверка отображения валидации при попытке входа в систему с не сущесутвующим пользователем ","415","checkLoginWithInvalidCredentials","Surefire suite","Mon Jun 16 16:40:16 GMT 2025","passed","Mon Jun 16 16:40:16 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithInvalidCredentials"
"","862","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:40:13 GMT 2025","passed","Mon Jun 16 16:40:14 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","878","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:40:09 GMT 2025","passed","Mon Jun 16 16:40:10 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","859","fillingFormFromParameters","Surefire suite","Mon Jun 16 16:40:10 GMT 2025","passed","Mon Jun 16 16:40:11 GMT 2025","tests.CheckoutTest","Surefire test","tests.CheckoutTest","fillingFormFromParameters"
"","776","checkLocator","Surefire suite","Mon Jun 16 16:40:00 GMT 2025","passed","Mon Jun 16 16:40:00 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
